Word,Occurrences,Total Time,Average Time,Max Time,Min Time,Time Variance
1806,1,1.27,1.27,1.27,1.27,0.0
1807,5,5.92,1.184,1.31,1.01,0.015530000000000009
1808,2,0.8800000000000001,0.44000000000000006,0.68,0.2,0.11520000000000002
1809,2,1.87,0.935,1.3,0.57,0.2664500000000001
1810,2,0.95,0.475,0.5,0.45,0.0012499999999999994
1811,4,4.0,1.0,1.08,0.94,0.003400000000000006
1812,9,8.84,0.9822222222222222,1.14,0.51,0.03604444444444444
1813,4,4.76,1.19,1.4,1.04,0.029466666666666648
1814,5,5.68,1.1360000000000001,1.36,0.82,0.04493000000000002
1815,3,2.04,0.68,1.12,0.18,0.22360000000000005
1816,2,2.34,1.17,1.36,0.98,0.07220000000000004
1817,4,3.81,0.9525,1.35,0.51,0.14109166666666667
1818,8,7.299999999999999,0.9125,1.35,0.58,0.07916428571428573
1819,1,0.5,0.5,0.5,0.5,0.0
182,1,1.1,1.1,1.1,1.1,0.0
1820,2,1.25,0.625,0.87,0.38,0.12004999999999999
1821,1,1.47,1.47,1.47,1.47,0.0
1823,4,4.050000000000001,1.0125,1.3,0.26,0.25249166666666667
1824,4,4.3100000000000005,1.0775000000000001,1.45,0.2,0.346025
1825,2,2.14,1.07,1.21,0.93,0.03919999999999998
1827,6,6.6,1.1,1.38,0.52,0.09171999999999998
1828,6,4.98,0.83,1.15,0.01,0.17839999999999998
1829,4,5.37,1.3425,1.46,1.2,0.011491666666666669
1830,2,1.6600000000000001,0.8300000000000001,0.93,0.73,0.020000000000000014
1831,4,2.06,0.515,1.08,0.01,0.2461666666666667
1832,7,4.76,0.68,1.28,0.01,0.14673333333333333
1833,2,2.13,1.065,1.27,0.86,0.08405000000000001
1834,2,2.62,1.31,1.4,1.22,0.01619999999999999
1835,9,9.14,1.0155555555555555,1.53,0.2,0.16895277777777779
1836,3,3.92,1.3066666666666666,1.46,1.2,0.018533333333333332
1837,6,6.27,1.045,1.4,0.01,0.27639
1838,1,0.93,0.93,0.93,0.93,0.0
1839,3,3.96,1.32,1.5,1.03,0.06429999999999998
1840,6,4.2299999999999995,0.705,1.03,0.01,0.15375
1841,3,3.4799999999999995,1.16,1.3,0.97,0.029100000000000008
1842,4,3.8000000000000003,0.9500000000000001,1.1,0.81,0.022866666666666677
1843,2,1.78,0.89,1.26,0.52,0.2738
1844,4,3.97,0.9925,1.34,0.09,0.36335833333333334
1845,2,2.7,1.35,1.36,1.34,0.00020000000000000036
1846,1,0.25,0.25,0.25,0.25,0.0
1848,1,1.04,1.04,1.04,1.04,0.0
1849,4,4.1899999999999995,1.0474999999999999,1.43,0.01,0.47989166666666666
1850,10,9.36,0.936,1.16,0.56,0.05898222222222223
1851,1,1.2,1.2,1.2,1.2,0.0
1852,1,1.36,1.36,1.36,1.36,0.0
1853,2,0.96,0.48,0.95,0.01,0.44179999999999997
1854,2,2.41,1.205,1.46,0.95,0.13005
1855,4,3.73,0.9325,1.37,0.45,0.1538916666666667
1856,3,1.9600000000000002,0.6533333333333333,1.1,0.4,0.15053333333333335
1857,1,1.33,1.33,1.33,1.33,0.0
1858,1,1.0,1.0,1.0,1.0,0.0
1859,1,1.47,1.47,1.47,1.47,0.0
186,1,0.66,0.66,0.66,0.66,0.0
1861,3,3.1999999999999997,1.0666666666666667,1.4,0.82,0.08973333333333332
1862,8,10.07,1.25875,1.53,0.18,0.19944107142857143
1863,5,6.43,1.286,1.43,1.17,0.00903
1864,3,3.42,1.14,1.27,0.97,0.023700000000000006
1865,8,8.64,1.08,1.53,0.21,0.30028571428571427
1866,1,1.47,1.47,1.47,1.47,0.0
1868,2,2.19,1.095,1.2,0.99,0.022049999999999993
1869,1,0.19,0.19,0.19,0.19,0.0
1871,1,0.69,0.69,0.69,0.69,0.0
1873,1,0.89,0.89,0.89,0.89,0.0
1874,3,4.05,1.35,1.48,1.28,0.012699999999999994
1876,2,2.92,1.46,1.54,1.38,0.012800000000000023
1877,3,4.28,1.4266666666666667,1.72,1.1,0.0969333333333333
1878,1,0.38,0.38,0.38,0.38,0.0
1881,1,1.17,1.17,1.17,1.17,0.0
1882,1,0.54,0.54,0.54,0.54,0.0
1889,1,0.74,0.74,0.74,0.74,0.0
1894,1,0.43,0.43,0.43,0.43,0.0
18th,3,1.76,0.5866666666666667,0.72,0.5,0.013733333333333328
19,11,9.05,0.8227272727272728,1.84,0.58,0.1188818181818182
190,1,1.47,1.47,1.47,1.47,0.0
1902,3,2.7199999999999998,0.9066666666666666,1.19,0.61,0.08423333333333333
1908,1,0.62,0.62,0.62,0.62,0.0
1909,1,0.69,0.69,0.69,0.69,0.0
191,1,1.41,1.41,1.41,1.41,0.0
1910,1,0.59,0.59,0.59,0.59,0.0
1912,1,0.47,0.47,0.47,0.47,0.0
1915,1,0.44,0.44,0.44,0.44,0.0
1929,3,3.17,1.0566666666666666,1.41,0.47,0.2617333333333333
1932,1,1.35,1.35,1.35,1.35,0.0
1933,6,7.7700000000000005,1.295,1.57,0.82,0.07383000000000002
1934,2,2.4000000000000004,1.2000000000000002,1.34,1.06,0.039200000000000006
1935,1,1.19,1.19,1.19,1.19,0.0
1936,2,2.29,1.145,1.32,0.97,0.061250000000000034
1937,3,2.48,0.8266666666666667,1.31,0.24,0.29423333333333335
1939,2,2.45,1.225,1.28,1.17,0.006050000000000011
1943,1,1.48,1.48,1.48,1.48,0.0
1945,2,2.59,1.295,1.38,1.21,0.014449999999999987
1948,4,2.94,0.735,0.86,0.4,0.04996666666666666
1949,2,2.63,1.315,1.39,1.24,0.011249999999999987
1950,4,3.8699999999999997,0.9675,1.09,0.88,0.007825000000000007
1952,3,3.88,1.2933333333333332,1.41,1.21,0.010833333333333327
1953,4,4.720000000000001,1.18,1.27,0.97,0.02006666666666667
1954,2,3.46,1.73,2.76,0.7,2.1217999999999995
1955,1,1.3,1.3,1.3,1.3,0.0
1956,1,0.5,0.5,0.5,0.5,0.0
1959,9,9.11,1.0122222222222221,1.41,0.35,0.21531944444444442
1960,8,6.84,0.855,1.18,0.46,0.07008571428571428
1961,5,6.670000000000001,1.334,1.36,1.3,0.0009800000000000017
1962,24,27.960000000000004,1.165,1.85,0.11,0.12191304347826089
1963,156,196.77000000000004,1.261346153846154,2.24,0.01,0.11547495037220844
1964,17,20.45,1.2029411764705882,1.49,0.46,0.08060955882352941
197,2,2.6500000000000004,1.3250000000000002,1.33,1.32,5.000000000000009e-05
1984,3,1.54,0.5133333333333333,0.54,0.48,0.000933333333333335
199,1,0.1,0.1,0.1,0.1,0.0
1st,1,0.45,0.45,0.45,0.45,0.0
2,97,35.03000000000002,0.3611340206185567,1.06,0.01,0.033972658934707904
20,36,20.779999999999998,0.5772222222222222,1.48,0.32,0.08449492063492063
200,6,3.7,0.6166666666666667,1.03,0.42,0.04554666666666667
2000,5,6.33,1.266,1.35,1.13,0.0070800000000000125
202,1,0.41,0.41,0.41,0.41,0.0
205,1,0.9,0.9,0.9,0.9,0.0
21,35,31.169999999999998,0.8905714285714286,2.11,0.2,0.24299378151260503
212,1,0.55,0.55,0.55,0.55,0.0
214,1,1.02,1.02,1.02,1.02,0.0
217,1,0.73,0.73,0.73,0.73,0.0
21st,2,1.46,0.73,0.73,0.73,0.0
22,88,56.40000000000001,0.6409090909090909,1.82,0.01,0.06008881922675026
2250,1,1.13,1.13,1.13,1.13,0.0
22nd,2,1.72,0.86,0.88,0.84,0.0008000000000000014
23,12,13.020000000000001,1.085,2.02,0.44,0.3114454545454545
2372,1,0.21,0.21,0.21,0.21,0.0
23rd,3,2.0100000000000002,0.67,0.91,0.38,0.07210000000000001
24,16,16.540000000000003,1.03375,2.29,0.34,0.3651716666666667
240,2,1.98,0.99,1.18,0.8,0.07219999999999996
249,1,0.82,0.82,0.82,0.82,0.0
24th,5,4.890000000000001,0.9780000000000001,1.6,0.75,0.12467000000000002
25,16,13.400000000000002,0.8375,2.38,0.56,0.18500666666666665
250,2,0.62,0.31,0.61,0.01,0.18
2515,1,1.49,1.49,1.49,1.49,0.0
25th,1,0.72,0.72,0.72,0.72,0.0
26,10,13.42,1.342,2.23,0.86,0.33237333333333335
260,1,0.99,0.99,0.99,0.99,0.0
265,3,2.9699999999999998,0.99,1.22,0.54,0.15189999999999998
266,1,0.06,0.06,0.06,0.06,0.0
27,11,11.629999999999999,1.0572727272727274,1.77,0.2,0.20302181818181816
275,2,2.45,1.225,1.43,1.02,0.08404999999999997
27th,3,2.48,0.8266666666666667,0.9,0.76,0.004933333333333335
28,10,5.15,0.515,1.41,0.01,0.14464999999999997
285,1,0.75,0.75,0.75,0.75,0.0
2875,1,1.73,1.73,1.73,1.73,0.0
289,1,0.69,0.69,0.69,0.69,0.0
28th,1,0.63,0.63,0.63,0.63,0.0
29,5,5.49,1.0979999999999999,1.95,0.84,0.22937
2915,10,9.0,0.9,1.33,0.01,0.16522222222222224
293,1,0.5,0.5,0.5,0.5,0.0
29th,2,1.49,0.745,0.76,0.73,0.0004500000000000008
2nd,5,3.07,0.614,0.96,0.44,0.04097999999999999
3,76,31.419999999999998,0.41342105263157897,1.47,0.01,0.037310807017543864
30,29,14.129999999999999,0.48724137931034484,0.7,0.3,0.011984975369458127
300,2,0.27,0.135,0.26,0.01,0.03125
3000,4,4.539999999999999,1.135,1.49,0.63,0.13103333333333333
30016,2,3.63,1.815,1.89,1.74,0.011249999999999987
30061,2,2.42,1.21,1.29,1.13,0.012800000000000023
30th,1,0.53,0.53,0.53,0.53,0.0
31,9,6.16,0.6844444444444444,1.76,0.33,0.19632777777777777
31st,1,0.72,0.72,0.72,0.72,0.0
32,2,0.71,0.355,0.37,0.34,0.0004499999999999991
323,1,1.03,1.03,1.03,1.03,0.0
33,3,2.1799999999999997,0.7266666666666667,0.97,0.3,0.13743333333333332
34,3,3.04,1.0133333333333334,1.09,0.96,0.004633333333333342
340,1,1.28,1.28,1.28,1.28,0.0
343,1,1.44,1.44,1.44,1.44,0.0
35,4,2.6500000000000004,0.6625,0.8,0.57,0.009491666666666673
350,2,2.37,1.185,1.8,0.57,0.7564500000000001
367,1,0.62,0.62,0.62,0.62,0.0
36th,1,0.67,0.67,0.67,0.67,0.0
37,1,1.04,1.04,1.04,1.04,0.0
371,1,2.61,2.61,2.61,2.61,0.0
375,1,1.32,1.32,1.32,1.32,0.0
379,1,1.38,1.38,1.38,1.38,0.0
38,5,3.0300000000000002,0.606,0.77,0.48,0.011280000000000002
390,1,0.69,0.69,0.69,0.69,0.0
3985,1,1.11,1.11,1.11,1.11,0.0
3rd,1,0.36,0.36,0.36,0.36,0.0
4,69,33.309999999999995,0.4827536231884058,1.15,0.01,0.04982612958226769
40,6,2.76,0.46,0.57,0.33,0.01
400,7,4.87,0.6957142857142857,0.76,0.59,0.0036952380952380956
4000,3,2.8600000000000003,0.9533333333333334,1.3,0.31,0.31103333333333333
411,1,0.88,0.88,0.88,0.88,0.0
44,1,1.01,1.01,1.01,1.01,0.0
45,18,14.659999999999998,0.8144444444444444,1.12,0.37,0.04940261437908498
4500,1,1.23,1.23,1.23,1.23,0.0
46,2,1.55,0.775,0.89,0.66,0.026449999999999994
462,1,3.85,3.85,3.85,3.85,0.0
4700,1,0.37,0.37,0.37,0.37,0.0
48,2,1.23,0.615,0.98,0.25,0.26644999999999996
484,1,0.32,0.32,0.32,0.32,0.0
4th,2,0.31,0.155,0.3,0.01,0.04205
5,76,39.45,0.5190789473684211,1.79,0.01,0.09953647368421054
50,9,6.68,0.7422222222222222,1.41,0.34,0.1981194444444444
500,16,10.83,0.676875,1.49,0.42,0.06302291666666666
5000,1,0.65,0.65,0.65,0.65,0.0
51,1,0.89,0.89,0.89,0.89,0.0
521,1,1.12,1.12,1.12,1.12,0.0
529,1,0.71,0.71,0.71,0.71,0.0
538,1,0.29,0.29,0.29,0.29,0.0
54,3,2.69,0.8966666666666667,1.04,0.74,0.02263333333333334
544,1,0.98,0.98,0.98,0.98,0.0
555,1,0.13,0.13,0.13,0.13,0.0
56,1,0.96,0.96,0.96,0.96,0.0
562,1,1.25,1.25,1.25,1.25,0.0
567,1,1.27,1.27,1.27,1.27,0.0
573,1,1.13,1.13,1.13,1.13,0.0
58,1,0.87,0.87,0.87,0.87,0.0
586,1,1.22,1.22,1.22,1.22,0.0
59,1,1.04,1.04,1.04,1.04,0.0
597,1,1.22,1.22,1.22,1.22,0.0
5th,1,1.63,1.63,1.63,1.63,0.0
6,45,32.709999999999994,0.7268888888888889,1.97,0.22,0.21698555555555554
60,4,3.7600000000000002,0.94,1.27,0.52,0.12726666666666667
600,2,1.76,0.88,0.96,0.8,0.012799999999999987
6000,2,2.24,1.12,1.31,0.93,0.0722
602,1,0.93,0.93,0.93,0.93,0.0
605,2,2.0100000000000002,1.0050000000000001,1.09,0.92,0.014450000000000006
606,1,1.04,1.04,1.04,1.04,0.0
626,1,1.13,1.13,1.13,1.13,0.0
629,1,1.42,1.42,1.42,1.42,0.0
636,1,0.65,0.65,0.65,0.65,0.0
64,2,1.83,0.915,0.97,0.86,0.006049999999999999
6439,1,2.12,2.12,2.12,2.12,0.0
65,2,1.58,0.79,0.89,0.69,0.020000000000000014
650,1,1.07,1.07,1.07,1.07,0.0
68,1,2.39,2.39,2.39,2.39,0.0
7,32,19.96,0.62375,1.8,0.29,0.08957903225806452
70,2,1.67,0.835,1.17,0.5,0.22444999999999996
700,3,2.1,0.7000000000000001,0.76,0.66,0.0027999999999999982
7000,1,1.36,1.36,1.36,1.36,0.0
7020,1,1.36,1.36,1.36,1.36,0.0
709,1,0.65,0.65,0.65,0.65,0.0
71,1,0.84,0.84,0.84,0.84,0.0
710,1,1.14,1.14,1.14,1.14,0.0
72,1,0.69,0.69,0.69,0.69,0.0
728,1,0.54,0.54,0.54,0.54,0.0
75,1,0.81,0.81,0.81,0.81,0.0
77,2,2.0999999999999996,1.0499999999999998,1.15,0.95,0.01999999999999999
78,3,3.12,1.04,1.14,0.9,0.01559999999999999
79,1,0.71,0.71,0.71,0.71,0.0
791,1,2.5,2.5,2.5,2.5,0.0
7th,1,0.4,0.4,0.4,0.4,0.0
8,57,18.3,0.32105263157894737,1.43,0.01,0.032995300751879696
80,1,0.3,0.3,0.3,0.3,0.0
800,5,3.86,0.772,1.38,0.38,0.17851999999999996
8000,2,1.28,0.64,1.01,0.27,0.2738
81,1,0.57,0.57,0.57,0.57,0.0
85,1,0.78,0.78,0.78,0.78,0.0
87,3,3.32,1.1066666666666667,1.19,0.98,0.012433333333333327
88,1,0.55,0.55,0.55,0.55,0.0
8th,1,0.25,0.25,0.25,0.25,0.0
9,34,19.06,0.5605882352941176,1.9,0.28,0.11444812834224599
90,3,2.23,0.7433333333333333,0.95,0.39,0.09453333333333332
900,1,0.01,0.01,0.01,0.01,0.0
92,1,0.79,0.79,0.79,0.79,0.0
95,3,4.29,1.4300000000000002,1.86,0.57,0.5547000000000001
950,1,2.8,2.8,2.8,2.8,0.0
99,1,0.7,0.7,0.7,0.7,0.0
9th,3,1.12,0.37333333333333335,0.39,0.35,0.0004333333333333341
a,4158,329.38000000000045,0.07921596921596921,0.69,0.01,0.0018488920037633052
abandon,2,1.06,0.53,0.55,0.51,0.0008000000000000014
abandoned,12,8.239999999999998,0.6866666666666666,0.84,0.6,0.004606060606060605
abandonment,2,1.5299999999999998,0.7649999999999999,0.82,0.71,0.006049999999999999
abash,1,0.38,0.38,0.38,0.38,0.0
abatement,1,0.54,0.54,0.54,0.54,0.0
abbey,1,0.39,0.39,0.39,0.39,0.0
abduction,4,2.57,0.6425,0.7,0.6,0.002158333333333333
Abear,1,0.61,0.61,0.61,0.61,0.0
abetting,1,0.46,0.46,0.46,0.46,0.0
abeyance,2,1.23,0.615,0.73,0.5,0.026449999999999994
abiding,1,0.51,0.51,0.51,0.51,0.0
abilities,2,1.37,0.685,0.69,0.68,4.999999999999898e-05
ability,11,7.1000000000000005,0.6454545454545454,0.76,0.52,0.005767272727272728
Abingdon,1,0.75,0.75,0.75,0.75,0.0
Abinger,1,0.63,0.63,0.63,0.63,0.0
abject,6,3.2800000000000002,0.5466666666666666,0.62,0.44,0.003626666666666666
able,47,13.750000000000002,0.2925531914893617,0.56,0.19,0.005654209065679926
ablution,1,0.79,0.79,0.79,0.79,0.0
ablutions,2,1.56,0.78,0.8,0.76,0.0008000000000000014
ably,4,1.38,0.345,0.5,0.01,0.05096666666666667
abnormalities,1,0.91,0.91,0.91,0.91,0.0
aboard,1,0.45,0.45,0.45,0.45,0.0
abode,2,0.6799999999999999,0.33999999999999997,0.37,0.31,0.0018
abolish,1,0.53,0.53,0.53,0.53,0.0
abolished,10,6.8100000000000005,0.681,0.83,0.49,0.009987777777777778
abolishing,1,0.66,0.66,0.66,0.66,0.0
abolition,7,3.9800000000000004,0.5685714285714286,0.67,0.41,0.007780952380952383
abominable,1,0.73,0.73,0.73,0.73,0.0
abortive,1,0.51,0.51,0.51,0.51,0.0
abound,1,0.51,0.51,0.51,0.51,0.0
about,337,109.63000000000005,0.32531157270029676,0.62,0.07,0.003255929419245443
above,58,22.770000000000007,0.3925862068965517,0.58,0.2,0.008426527525710829
Abraham,4,2.3,0.575,0.67,0.49,0.008700000000000003
Abrahams,3,2.27,0.7566666666666667,0.85,0.63,0.012933333333333331
abreast,1,0.6,0.6,0.6,0.6,0.0
abroad,15,7.8999999999999995,0.5266666666666666,0.63,0.42,0.0035095238095238096
abruptly,3,1.94,0.6466666666666666,0.69,0.59,0.002633333333333333
abscond,2,1.24,0.62,0.69,0.55,0.009799999999999986
absconded,4,2.7199999999999998,0.6799999999999999,0.73,0.61,0.0025999999999999994
absconding,1,0.87,0.87,0.87,0.87,0.0
absence,22,11.669999999999998,0.5304545454545455,0.85,0.43,0.010175974025974024
absent,7,3.77,0.5385714285714286,0.64,0.3,0.012814285714285716
absentee,1,0.6,0.6,0.6,0.6,0.0
absolute,8,4.890000000000001,0.61125,0.74,0.48,0.007755357142857143
absolutely,9,7.31,0.8122222222222222,0.89,0.72,0.003094444444444445
absolved,1,0.53,0.53,0.53,0.53,0.0
absorb,5,2.51,0.502,0.63,0.42,0.007770000000000003
absorbed,13,7.43,0.5715384615384616,0.8,0.47,0.007864102564102565
absorbing,3,1.81,0.6033333333333333,0.63,0.57,0.000933333333333335
absorbs,3,1.77,0.59,0.64,0.52,0.003899999999999999
absorption,7,4.41,0.63,0.67,0.51,0.003100000000000001
abstained,2,0.9099999999999999,0.45499999999999996,0.72,0.19,0.14045
abstaining,1,0.73,0.73,0.73,0.73,0.0
abstract,1,0.81,0.81,0.81,0.81,0.0
abstracted,4,3.0999999999999996,0.775,0.82,0.73,0.0013666666666666658
abstracting,1,0.74,0.74,0.74,0.74,0.0
abstraction,1,0.9,0.9,0.9,0.9,0.0
abstractions,2,1.85,0.925,0.99,0.86,0.008450000000000001
absurdity,2,1.3599999999999999,0.6799999999999999,0.72,0.64,0.0031999999999999967
abundance,2,1.26,0.63,0.67,0.59,0.003200000000000006
abundant,3,1.5699999999999998,0.5233333333333333,0.57,0.44,0.005233333333333333
abundantly,1,0.65,0.65,0.65,0.65,0.0
abuse,3,1.6500000000000001,0.55,0.59,0.53,0.0011999999999999977
abused,2,1.04,0.52,0.6,0.44,0.012799999999999995
abuses,11,7.089999999999999,0.6445454545454545,0.78,0.51,0.007807272727272728
abusive,1,0.6,0.6,0.6,0.6,0.0
abusively,1,0.1,0.1,0.1,0.1,0.0
academy,2,1.21,0.605,0.62,0.59,0.0004500000000000008
accelerated,1,0.78,0.78,0.78,0.78,0.0
accelerator,1,0.86,0.86,0.86,0.86,0.0
accent,3,2.02,0.6733333333333333,0.71,0.64,0.0012333333333333315
accentuated,1,0.81,0.81,0.81,0.81,0.0
accept,14,6.82,0.48714285714285716,0.58,0.37,0.004160439560439559
acceptance,3,1.9300000000000002,0.6433333333333333,0.67,0.59,0.0021333333333333373
acceptances,6,5.68,0.9466666666666667,1.0,0.86,0.002986666666666666
accepted,21,12.760000000000002,0.6076190476190476,0.76,0.47,0.006199047619047619
accepting,3,1.98,0.66,0.7,0.64,0.0011999999999999977
accepts,1,0.51,0.51,0.51,0.51,0.0
access,34,17.209999999999997,0.5061764705882353,0.68,0.4,0.004424331550802139
accession,3,1.83,0.61,0.68,0.57,0.0037000000000000067
accessory,2,1.5299999999999998,0.7649999999999999,0.82,0.71,0.006049999999999999
accident,6,3.8400000000000003,0.64,0.78,0.54,0.0068800000000000016
accidentally,3,2.42,0.8066666666666668,0.81,0.8,3.3333333333333396e-05
accidents,2,1.35,0.675,0.68,0.67,5.000000000000009e-05
accommodate,8,5.21,0.65125,0.77,0.56,0.0058125
accommodated,6,4.65,0.775,0.81,0.72,0.001750000000000003
accommodating,1,0.74,0.74,0.74,0.74,0.0
accommodation,21,17.060000000000002,0.8123809523809524,1.01,0.55,0.010099047619047619
accommodations,2,1.6600000000000001,0.8300000000000001,0.88,0.78,0.0049999999999999975
accompanied,26,15.75,0.6057692307692307,0.75,0.52,0.0031533846153846156
accompany,2,1.1099999999999999,0.5549999999999999,0.57,0.54,0.0004499999999999975
accompanying,3,2.09,0.6966666666666667,0.7,0.69,3.3333333333333396e-05
accomplice,5,3.26,0.652,0.7,0.59,0.0015700000000000002
accomplices,7,5.449999999999999,0.7785714285714286,0.91,0.64,0.008447619047619046
accomplish,7,4.13,0.59,0.75,0.5,0.0061333333333333335
